Criterion,Sub-criterion,google-gemma-3-7b,google-gemma-3-27b,gpt-oss-120b-v1,gtp-4-1-nano-ft,gpt-oss-120b-v2
Adherence,N/A,4.58,4.83,4.83,3.59,4.76
Kindness_and_Gentleness,N/A,4.73,4.86,4.87,4.25,4.92
Interfaith_Sensitivity,Respect_and_Handling_Objections,3.23,3.38,3.25,2.96,3.79
Interfaith_Sensitivity,Objection_Acknowledgement,2.08,2.17,2.13,1.92,2.42
Interfaith_Sensitivity,Evangelism,3.14,3.25,3.25,1.94,4.09
Interfaith_Sensitivity,Gospel_Boldness,4.1,4.15,4.19,3.08,4.8
Arabic_Accuracy,Grammar_and_Syntax,4.31,4.78,4.48,3.53,4.55
Arabic_Accuracy,Theological_Nuance,4.22,4.67,4.58,3.1,4.5
Arabic_Accuracy,Contextual_Clarity,4.69,4.92,4.67,3.73,4.58
Arabic_Accuracy,Consistency_of_Terms,4.74,4.95,4.86,3.87,4.78
Arabic_Accuracy,Arabic_Purity,4.23,4.83,4.5,3.8,4.72
